job,company,city,salary,work_experience,age,education,work_type,contract,email,phone_number,job_descr,links,posted_date,deadline
Anbarda toplayıcı,Logist LLC,Bakı,500₼,,21 — 45,Orta və ya orta ixtisas təhsili,Növbəli,Əmək müqaviləsi,Nömrə qeyd olunub,055-253-94-07,İş barədə məlumat:· Anbarda toplayıcı· Fiziki işdir· Anbarda malların qəbul olunması· Yüklərin boşaldılması və yerləşdirilməsi· Sifarişlərin maşınlara yüklənməsi· Terminal ilə işləmək (öyredilir)· Əmək haqqı 500 AZN + bonus/KPİ ödənişi (artan əmək haqqı)· Növbəli iş qrafiki· Səhər -08:00-17:00· Günorta 14:00-23:00 (əmək haqqına əlavə 20% ödəniş)· Gecə 22:00-07:00 (əmək haqqına əlavə 40% ödəniş)· İstirahət günü (şənbə/bazar)· AR qanunvericiliyinə əsasən sənədləşmə· Naharşirkət tərəfindən təmin edilirNamizədə tələblər:· Orta təhsil· Kollektivdə işləmə bacarığıİş yeriSədərəkticarət mərkəzinin yaxınlığında yerləşir.Maraglanan şəxslər 055-253-94-07 əlaqə saxlaya bilərlər.Uyğun başlıqlarAnbar,https://www.offer.az/anbarda-toplayici-4-vakansiya-2025-60791/,05/02/2025,07/03/2025
İstehsalat bölmə nəzarətçisi (baş qənnadçı),Maple Trading şirkəti,Bakı,800 — 1000 ₼,1 il,21 — 45,Orta və ya orta ixtisas təhsili,Gecə növbəsi,Əmək müqaviləsi,hr@mapletrading.az,,"Əsas vəzifə və öhdəliklər:Standartlara, prosedurlara uyğun olaraq keyfiyyətli, çeşidli şirniyyatların, desertlərin hazırlanması və dekoru;Tabeçiliyində olan qənnadçıların iş bölgüsünün təşkili, nəzarəti,onların işini tənzimlənməsi və təlimatlandırılması;Qida məhsullarının və şirniyyatların keyfiyyətinə, çatdırılma müddətinə,dekorasiyasına gündəlik nəzarəti və standartlara uyğun olaraq saxlanılmasının təmin edilməsi;Buraxılan qənnadı məmulatlarının, undan hazırlanma məmulatların çeşidlərinin genişləndirilməsi, yeni məhsul növlərinin tətbiqi üzrə təkliflərin hazırlanması;Müxtəlif növ xəmirlərin hazırlanması və şirniyyatların bəzədilməsi texnologiyasını bilməlidir;Bütün qənnadı sexinin işinin keyfiyyətinə görə məsuliyyətin daşınması;Qida məhsullarını standartlara uyğun olaraq hazırlanma prosesinin təşkil edilməsi;İş qrafiki: 23:00-dan – 07:00-dək ( gecə növbəsi)Əmək haqqı:800-1000AZNÜnvan: İzəddin Həsənoğlu 2a (Heydər Əliyev Mərkəzinin yanı)Vakansiya üzrə tələb olunan bacarıqlarKeyfiyyət və qida təhlükəsizliyi standartlarını yaxşı bilməli, şəxsi gigiyena prosedurlarına riayət olunmasını təmin etməliKomandada işləmə bacarığıSertifikat və ya kurslar: ArzuolunandırUyğun başlıqlarİstehsalat",https://www.offer.az/istehsalat-bolme-nezaretcisi-vakansiya-2025-60790/,05/02/2025,05/03/2025
İstehsalat koordinatoru,Maple Trading şirkəti,Bakı,700₼,1 il,21 — 45,Orta və ya orta ixtisas təhsili,Gecə növbəsi,Əmək müqaviləsi,hr@mapletrading.az,,"Əsas vəzifə və öhdəliklər:Növbə ərzində istehsalat tapşırıqlarının yerinə yetirilməsini, məhsulun müəyyən olunmuş texnologiya əsasında yüksək keyfiyyətdə istehsalına nəzarəti təmin edir;İstehsalın gedişində qarşıya çıxan xətaları aradan qaldırır;Məhsulun iş yerlərində hərəkətinin və istehsal tapşırıqlarının yerinə yetirilməsinin operativ uçotunu aparır;Mağazalardan gələn sifarişlərin qeydiyyatını aparır;İşçiləri koordinasiya edir, onları əlaqələndirir;İş qrafiki: 23:00-dan – 07:00-dək ( gecə növbəsi)Əmək haqqı: 700 AZNÜnvan: İzəddin Həsənoğlu 2a (Heydər Əliyev Mərkəzinin yanı)Uyğun başlıqlarİstehsalat",https://www.offer.az/istehsalat-koordinatoru-vakansiya-2025-60789/,05/02/2025,05/03/2025
Tort yığım ustası,Maple Trading şirkəti,Bakı,700₼,1 il,21 — 45,Orta və ya orta ixtisas təhsili,Tam iş günü (5 gün),Əmək müqaviləsi,hr@mapletrading.az,,"Vəzifə ÖhdəlikləriKoordinasiya şöbəsi tərəfindən verilən sifariş cədvəlinə, tortların tərkibinə uyğun biskvitlərinvə kremlərin ölçüsünün müəyyənləşdirilmək;Tort biskvitlərinin kremləmək və qatları yığmaq;Sifariş siyahısına uyğun olaraq tortlara astar kremi çəkmək ;Növbəti günlərin tort siyahısına müvafiq olaraq, ehtiyat tortların hazırlanması.TələblərVəzifə üzrə 1-3 il iş təcrübəsiQida tərkibləri haqqında məlumatMətbəx avadanlıqlarından istifadə qaydası bilməkSürətli istehsal mühitində işləmək bacarığı.·Güclü təşkilatçılıq və vaxtı idarə etmə bacarığı.Iş qrafiki: 07:00-15:00Əmək haqqı: 700 AZNUyğun başlıqlarTort ustası",https://www.offer.az/tort-yigim-ustasi-2-vakansiya-2025-60788/,05/02/2025,05/03/2025
Növbə nəzarətçisi,Hajigabul Poultry Farm Company,Hacıqabul,Müsahibə əsasında,1 il,25 — 50,Natamam ali təhsil (bakalavr),Tam iş günü (6 gün),Əmək müqaviləsi,haciqabulqusculuq.hr@gmail.com,,"Vəzifə Haqqında:Biz komandamıza çeşidləmə və qablaşdırma proseslərinin düzgün və səmərəli şəkildə təmin etmək üçün təcrübəliNövbə nəzarətçisiaxtarındayıq. Bu rolda sizin əsas məqsədiniz işçilərin fəaliyyətini təşkil edərək keyfiyyət və məhsuldarlıq göstəricilərinin yerinə yetirilməsindən ibarət olacaqdır .İş Barədə Məlumat:İş yeri – Hacıqabul şəhəri;Çeşidləmə və qablaşdırma sahəsində işçilərin fəaliyyətini təşkil etmək və idarə etmək;Məhsulların çeşidlənməsi və qablaşdırılması prosesinə nəzarət etmək;İşçilərin iş qrafikinə uyğun fəaliyyət göstərməsini təmin etmək;Məhsulun keyfiyyət standartlarına uyğun çeşidlənməsini və qablaşdırılmasını yoxlamaq;Proses zamanı ortaya çıxan problemləri müəyyən edib həll etmək və rəhbərliyə məlumat vermək;Günlük və aylıq hesabatlar hazırlamaq;Avadanlıqların düzgün istifadəsini təmin etmək və texniki problemlər haqqında müvafiq şöbəyə məlumat vermək;İşçilərin təhlükəsizlik qaydalarına əməl etməsinə nəzarət etmək;6 günlük iş rejimi (08:00 – 17:00);Nahar şirkət tərəfindən təmin edilir;Servis mövcüddur ( Hacıqabul,Şirvan və Sabirabad rayonlarından servis xidmətimiz fəaliyyət göstərir );Əmək haqqı : Müsahibə əsasında.Tələblər:Yaş hədddi : 25- 50 yaş arası;Hacıqabul, Şirvan və Sabirabad rayonlarında yaşayan namzidələrə üstünlük veriləcəkdir;Orta ixtisas və ya ali təhsil (İstehsalat və ya logistika sahəsində təhsil üstünlükdür);Çeşidləmə və qablaşdırma sahəsində ən azı 1 il iş təcrübəsi;İdarəetmə və komanda ilə işləmə bacarığı;Dəqiqlik, məsuliyyət və problemləri həll etmə bacarığı;MS Office proqramlarında işləmə bacarığı (üstünlükdür);İş prosesində çevik və operativ qərar vermə bacarığı;Fiziki dözümlülük və sürətli iş mühitinə uyğunlaşmaq bacarığı.Əgər siz istehsal sahəsində təcrübəyə malik və dinamik bir mühitdə işləməyi hədəfləyirsinizsə, komandamıza qoşulmaq üçünCV-nizi və əlaqə məlumatlarınızıhaciqabulqusculuq.hr@gmail.comelektron poçtuna göndərin.Uyğun başlıqlarsayım",https://www.offer.az/novbe-nezaretcisi-2-vakansiya-2025-60787/,05/02/2025,03/03/2025
Maliyyə hesabatlılığı üzrə mütəxəssis,Agro-West DC LLC,Bakı,1200 — 1500 ₼,3 il,25 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,hr@agrowestdc.az,,"Tələblər:Ali təhsil (Maliyyə, Mühasibatlıq və ya İqtisadiyyatın idarə edilməsi sahəsində ali təhsilli);Maliyyə və ya audit sahəsində ən azı 3 illik iş təcrübəsi;Əlavə nəaliyyətlər (ACCA və ya CIMA ) üstünlükdür;Azərbaycan dili səlis, ingilis və rus dili arzuolunandır;MS Office (Excel-Əla səviyyə,Macros,VBA);1C sistemi üzrə biliklər.Vəzifə öhdəlikləri:Günlük və aylıq satış datalarının təhlili və satış hesabatlarının hazırlanması;Maliyyə hesabatlarının haırlanması, analizi və maliyyə əmsallarının hesablanması;İdarəetmə hesabatlarının hazırlanmasında iştirak;Audit proseslərində dəstək;ERP sisteminin təkmilləşməsinə dəstək;Dövriyyə qalıqlarına nəzarət;İş əsnasında yarana biləcək rəhbərlik tərəfindən verilən digər tapşırıqların yerinə yetirilməsi.İş Şəraiti:İş qrafiki: 5 gün;İş Saatı: 09:00-18:00;Nahar və korporativ nömrə şirkət tərəfindən təmin olunur;Əmək Haqqı: 1200-1500 AZN;İş yeri:Bakıxanov qəs.Bəşir Bünyadov küç.Maraqlanan namizədlər öz CV formalarını mövzu hissəsinə “ Maliyyə hesabatlılığı üzrə mütəxəssis ” yazaraq poçtuna göndərmələri xahiş olunur.Uyğun başlıqlarMaliyyəMaliyyə TəhliliMaliyyəçi analitik",https://www.offer.az/maliyye-hesabatliligi-vakansiya-2025-60786/,05/02/2025,30/03/2025
İnsan resursları üzrə mütəxəssis,Seaport Catering,Bakı,Müsahibə əsasında,3 il,30 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,a.garayzada@seaport-catering.az,,"İş barədə məlumat:Azərbaycan Respublikası Əmək Məcəlləsini əsas tutaraq İnsan Resursları üzrə müvafiq əməliyyatları həyata keçirmək;Müasir HR metodologiya və yanaşmalar ( KPİ, Performance evolution, səriştələrin idarə edilməsi, təlim, karyera planlama) haqda məlumatlılıqDaxili təlimlərin təşkil edilməsi, işçilər üçün inkişaf və təlim proqramlarının hazırlanması;Şirkət üzrə vəzifə təlimatlarının və bütün növ əmrlərin yazılması (işə qəbul, işdən azad, ezamiyyə, məzuniyyət, mükafatlandırılma, intizam tənbehi və s.,)İşçilərin gündəlik və aylıq davamiyyətinin izlənilməsi, gündəlik və aylıq hesabatın hazırlanması, ay sonu əmək haqqı tabellərinin hazırlanaraq mühasibatlığa təhvil verilməsi;Azərbaycan Respublikası Əmək Qanunvericiliyinə əsasən yeni işçilərin sənədlərinin qəbulu, əmək müqaviləsinin bağlanması, dəyişikliklərin edilməsi, xitam verilməsi, vəzifə dəyişikliyi, mükafatlandırılması, məzuniyyət, ezamiyyətə göndərilməsi və sair ilə bağlı sənədlərin rəsmiləşdirilməsi, habelə Əmək Müqaviləsi bildirişlərinin ƏMAS altsisteminə daxil edilməsi, müvafiq sənədləşmənin icra edilməsi və ƏMAS-la və İSB ilə bağlı digər əməliyyatları vaxtında yerinə yetirmək;İşçilərin illik əmək məzuniyyətlərinin qrafikinin qurulması, təhsil, analıq və öz hesabına məzuniyyətlərin verilməsi,istifadə edilməmiş məzuniyyətlərin kompensasiya edilib verilməsiİşçilər barədə məlumatları özündə cəmləşdirən məlumat bazasını (data baza) hazırlamaq və mütəmadi yeniləmək;Əməkdaşların daxili icra və əmək intizamı qaydalarına riayət etməsinə nəzarət edilməsiNamizədə tələblər:İnsan Resursları,Biznes İdarəetməsi və ya müvafiq sahədə bakalavr dərəcəsi.İnsan resursları sahəsində 3 ildən az olmayaraq peşəkar iş təcrübəsiAzərbaycan Respublikası Əmək Məcəlləsi və mövcud əmək qanunvericiliyi üzrə biliklər;MS Office (Word, Excell, Power Point) proqramlarında sərbəst işləmək bacarığı;Dil bilikləri – azərbaycan dili əla, İngilis dili- yaxşı; Rus dili – arzuolunandırKomanda daxilində işləmək bacarığıAnalitik düşünmə və problemləri həll etmə və liderlik bacarıqlarıAktiv, məsuliyyətli, stressə davamlı, işində dəqiq, ünsiyyətcilİş barədə məlumat:İş günləri : Həftənin 5 iş günü tamİş vaxtı: 09:00-dan 18:00-dəkNahar şirkət tərəfindən təmin edilir.Korporativ telefon,nömrə və danışıq balansı.Əmək haqqı:Namizədin bilik və bacarıaqlarına əsasən təyin edilir.Ünvan: Bakı şəhəri (Yasamal rayonu)Yalnız qeyd olunan tələblərə uyğun gələn namizədlərdən mövzu yerində “İnsan resursları üzrə mütəxəssis” qeyd etməklə CV-lərini elektron poçt ünvanına göndərməyi xahiş olunur.Uyğun başlıqlarHRİnsan resurslarıMicrosoft Office",https://www.offer.az/insan-resurslari-135-vakansiya-2025-60785/,04/02/2025,09/03/2025
Mühasib,Prosys LLC,Bakı,Müsahibə əsasında,3 il,25 — 55,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,hr@prosys.az,,"İş barədə məlumatŞirkət tərəfindən həyata keçirilən bütün maliyyə-təsərrüfat əməliyyatlarının mühasibat uçotunda düzgün əks etdirilməsini, mühasibat-maliyyə hesabatlarının müəyyən edilmiş müddətdə tərtib və təqdim edilməsi;Daxil olan və çıxan pul vəsaitinin uçotunu, mühasibat uçotu hesablarında onların hərəkətini, istehsal dövriyyəsini və xərclərini, xərclər smetasının hazırlanmasını, məhsulun satışını, iş və xidmətlərin yerinə yetirilməsini, maliyyə, hesabat və kredit əməliyyatlarının uçotunu təşkili;İlkin və mühasibat sənədlərinin rəsmiləşdirilməsi və icrasına nəzarət etmək;Internet banking və internet vegi idarəsi əməliyyatların icrası, Ödəniş və hesablaşma öhdəliklərinin rəsmiləşdirilməsi;Əməkhaqları, məzuniyyət, ezamiyyət, xəstəlik vərəqəsi və digər işçi xərclərinin hesablanması;Bank və ƏDV depozit hesabları üzrə ödənişlərin həyata keçirilməsi, Bank və ƏDV depozit hesablarının uçotunun aparılması;Vergi ödəmələrinin həyata keçirilməsi;Müqavilələrin, Hesab-fakturaların, E-qaimələrin, aktların, təhvil-təslim sənədlərinin, gömrük bəyannamələrinin hazırlanması, göndərilməsi, təsdiqi və ödənişlərinə nəzarət;Sənədlər və mühasibat yazılışları əsasında bütün növ rəsmi hesabatların (Vergi, DSMF, Statistika) tərtib olunması (aylıq, rüblük və illik) və qanunvericilikdə müəyyən olunmuş müddət ərzində müvafiq orqanlara təqdim olunması;Şirkətin mühasibatlıq əməliyyatlarının qanunvericiliyə uyğun şəkildə aparılması;Təsərrüfat əməliyyatlarının mühasibat hesabatlarında, gəlir və xərclərin formalaşmasında dəqiq və vaxtlı-vaxtında öz əksini tapmasının təmin edilməsi;Pul vəsaitlərinin, əsas vəsaitlərin və maddi əşyaların inventarlaşması;Əsas vəsaitlərin, az qiymətli malların və qeyri-maddi ehtiyatların mühasibat uçotunda düzgün əks olunması;Müəssisənin aktiv və passivlərinin, o cümlədən debitor və kreditor borcların, nağd vəsaitlərin ,mal qalığının, vergi öhdəliklərinin , gəlir və xərclərinin və s uçotunun həyata keçirilməsi;Maliyyə və vergi hesabatları üçün əsas vəsaitlərin amortizasiyasının düzgün hesablanması;Dövlət orqanları ilə gündəlik yazışmalar. Muhasibatlıq sahəsində kargüzarlığa daxil olan məktubların operativ cavablandırılmaq;Maliyyə vəziyyətinin səviyyəsinin aşağı düşməsinə səbəb olacaq amillər barədə rəhbərliyi məlumatlandırmaq və həlli barədə məsləhətlər vermək;Rəhbərlik tərəfindən verilmiş tapşırıqları düzgün və tam şəkildə icra etmək;Yoxlama və sənədli təftişin aparılması qaydasına nəzarət etmək;Əmək qanunvericiliyinin əsaslarını, daxili intizam qaydalarını, əməyin mühafizəsinin norma və qaydalarını bilmək, icrasına nəzarət etmək;İş şəraitiAzərbaycan Respublikasının Əmək Məcəlləsinə uyğun sənədləşmə.İş vaxtı: həftənin 5 günü, saat 09:00-dan 18:00-dək. Istirahət günləri: şənbə, bazarƏmək haqqı namizədin bilik, bacarıq və praktik iş təcrübəsinə uyğun olaraq müsahibə zamanı razılaşdırılacaq.Namizədə tələblər:PMS sertifikatıMühasib kimi ən azı 3 illik iş stajıAli təhsil (Maliyyə, İqtisadiyyat, mühasibat uçotu sahəsində təhsili olan namizədlərə üstünlük verilir)Bütün növ hesabatların verilməsi üzrə təcrübəKomputer bilikləri: Microsoft Office (Excel yüsək səviyyədə), 1C bilikləri, Mühasibatlıq, Vergi hesabatları, BTP;Maliyyə uçotu standartlarına əsasən Maliyyə hesabatlarının Balans, PL (Mənfəət və Zərərin hesabatı), Cash Flow (Pul vəsaitlərinin hərəkəti hesabatı) Kapitalın hərəkəti hesabatının tərtib etmə və analiz edə bilməli;Əmək və Vergi qanunvericiliyi, Mülki, İnzibati Qanunvericilik, sahə üzrə qanunvericiliyin bütün tələblərini yüksək səviyyədə bilməli;Mühasibat balanslarının və hesabatlarının tərtib edilməsi qayda və müddətlərini bilməli;Yoxlama və sənədli təftişin aparılması qaydasını bilməli;Mühasibat uçotunun təşkilinin təkmilləşdirilməsi üzrə təcrübəni bilməliKomanda ilə işləmək bacarığıE-mail platformalarda yazışmaq qaydalarını bilmək və icra etmək bacarığı;Stressə davamlı və öyrənməyə maraqlı;Yüksək təşkilatçılıq və səlis nitq qabiliyyəti;Diqqətli və operativ olmalı;Kommunikasiya bacarığı yüksək səviyyədə olmalı;Fəaliyyəti ilə bağlı sənədlər dövriyyəsinin reallaşdırılmasını və imzalanmasını təşkil etməli;Fəaliyyəti ilə əlaqədar digər strukturlarla əlaqələndirməni təşkil etməli;Mühasibatlıq fəaliyyəti ilə bağlı arxivləşdirməni təmin etməli;Dil bilikləri: Rus dili bilənlərə üstünlük verilir ingilis dili arzu olunandır;Detallara qarşı diqqətlilik və məsuliyyətli;Planlaşdırma və vaxtın düzgün istifadə edilməsi bacarıqları;Asan ünsiyyət qura bilən.Qeyd olunan tələblərə uyğun namizədlər mövzü yerində “Mühasib” yazaraq CV formasını elektron poçt ünvanına göndərməklə müraciət edə bilərlər.Uyğun başlıqlarMaliyyəMühasibMühasibat",https://www.offer.az/muhasib-865-vakansiya-2025-60784/,04/02/2025,09/03/2025
Mühasib,VIP Services Group LLC,Bakı,1200₼,2 il,25 — 40,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m6p2kcx82yTəsvirVəzifə öhdəlikləri:– Mühasibat uçotu prinsipləri əsasında bütün mühasibat əməliyyatlarının aparılması;– Vergi, sosial müdafiə fondu, statistika üzrə hesabatların hazırlanması və təqdim edilməsi;– Maliyyə siyasətinə, tənzimləmə və qanunvericiliyə riayət edilməsi;– 1C mühasibat proqramında bütün gündəlik əməliyyatların uçotu və zəruri hesabatların aparılması;– Pensiya fondunun vergi bəyannamələrinin və statistik hesabatların hazırlanması və təqdim edilməsi;– Bank və nağd ödəniş tapşırıqlarının hazırlanması və işlənməsi;– İnventarlaşdırmanın vaxtında aparılması;– Vergi proqramında hesab-fakturaların hazırlanması;– Mühasibat uçotunun düzgünlüyünü və dolğunluğunu təmin etmək üçün qüvvədə olan qanun və qaydalara uyğun olaraq bütün maliyyə əməliyyatlarının işlənməsi və uçotunun aparılması.Əmək şəraiti:· Əmək haqqı 1200 AZN (gross);· 5 günlük (09:00-18:00) iş rejimi;· Nahar və nəqliyyatla təmin edilir;· Heydər Əliyev Beynəlxalq Hava Limanı.Tələblər– 25-40 yaşa qədər;– Mühasibatlıq / maliyyə / iqtisadi təhsil;– Mühasibatlıq sahəsində ən azı 2 il iş təcrübəsi;– Azərbaycan Respublikasının Vergi Məcəlləsini bilməli, vergi bəyannamələri, balans hesabatı, mənfəət və zərər hesabatı barədə iklin anlayışı olmalı;– MS Office proqramları, təkmil Excel biliyi, 1C Mühasibatlıq 7.7, 8.2 bilikləri;– Müvafiq sertifikatların olması üstünlükdür;Uyğun başlıqlarMühasibMühasibat",https://www.offer.az/muhasib-864-vakansiya-2025-60783/,04/02/2025,09/03/2025
Maliyyə meneceri,Papa Johns Pizza,Bakı,Müsahibə əsasında,5 il,25 — 45,Natamam ali təhsil (bakalavr),Tam iş günü (5 gün),Əmək müqaviləsi,Link elanda qeyd olunub,,"https://qlor.me/m6p3o4mbt6Təsvir– Şirkətin maliyyə planlarını hazırlamaq, gəlir və xərcləri büdcələmək.– Büdcə performansını izləmək və analiz etmək, büdcə hədəflərinə uyğunluğunu təmin etmək– Gəlir, xərclər, mənfəət və zərərlərlə bağlı aylıq, rüblük və illik maliyyə hesabatlarını hazırlamaq– Maliyyə nəticələrini təhlil etmək və rəhbərliyə hesabat vermək.– Pul axınlarının səmərəli şəkildə idarə olunmasını təmin etmək və likvidlik səviyyəsini saxlamaq.– Bölmələr üzrə material qalığına nəzarət.– Mal hərəkətinin uçotu və inventarizasiya nəzarət.– Əsas vəsaitlər və amartizasiya hesablanmasına nəzarət.– Şirkətin vergi siyasətini tənzimləmək və vergi öhdəliklərini vaxtında yerinə yetirmək.– Vergi hesabatlarını hazırlamaq və qanunvericiliyə uyğun təqdim etmək.– Vergi qanunvericiliyindəki dəyişikliklərdən xəbərdar olmaq və uyğun vergi planlaşdırması aparmaq.– Vergi optimallaşdırması məqsədilə müvafiq strategiyaların hazırlanması və həyata keçirilməsi.– Audit zamanı ortaya çıxan problemlərin həll edilməsi üçün müvafiq tədbirlər həyata keçirmək və hesabatlılığı təmin etmək.– Maliyyə bazarlarını izləmək və iqtisadi şəraitin dəyişikliklərinə uyğun maliyyə strategiyalarını tənzimləmək.– Yeni maliyyə mənbələrinin cəlb edilməsi və mövcud kapitalın artırılması üçün strategiyalar hazırlamaq.– Əmək haqqlarının hesablanmsına nəzarət.– Sosial vergilərin hesablanmasına nəzarət.– Kassa hesabatlarına nəzarət .– Satışın planlanması və mayə dəyərinin kalkulyasıyası.– Büdcələrin tərtib olunması.Tələblər– Maliyyə idarəçiliyi sahəsində minimum 5 il iş təcrübəsi.– Vergi qanunvericiliyini bilməli.– Azərbaycan, Rus dilində sərbəst danışıq mütləqdir.– Ali iqtisadi təhsil (mühasibatlıq və ya maliyyə ixtisası üzrə olması);– Maliyyə, mühasibatlıq ilə bağlı yerli qanunvericiliyi və beynəlxalq standartları üzrə məlumatlılıq;– Maliyyə şöbəsinin fəaliyyətinin qurulması və idarə olunması bacarıqları.Uyğun başlıqlarMaliyyəMicrosoft OfficeMühasibMühasibat",https://www.offer.az/maliyye-meneceri-14-vakansiya-2025-60782/,04/02/2025,09/03/2025
